userid,features
1,ptype=hotels|star=4|amen=air conditioning|amen=bathrobes|amen=blackout curtains|amen=carpeting|amen=closet|amen=coffeetea maker|amen=daily housekeeping|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mini bar|amen=mirror|amen=satellitecable channels|amen=seating area|amen=slippers|amen=smoke detector|amen=sofa|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=clothes rack|amen=dvdcd player|amen=laptop safe box|amen=whirlpool bathtub|amen=woodenparqueted flooring|amen=ironing facilities|amen=shower|amen=fan
2,ptype=resorts|star=4|amen=air conditioning|amen=bathrobes|amen=carpeting|amen=closet|amen=clothes rack|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mini bar|amen=mirror|amen=satellitecable channels|amen=seating area|amen=sofa|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|ptype=hotels|star=3|amen=alarm clock|amen=smoke detector|amen=additional bathroom|amen=cleaning products|amen=clothes dryer|amen=coffeetea maker|amen=dressing room|amen=extra long bed|amen=fan|amen=free bottled water|amen=full kitchen|amen=high chair|amen=interconnecting rooms available|amen=ironing facilities|amen=kitchenware|amen=microwave|amen=mosquito net|amen=private entrance|amen=refrigerator|amen=separate dining area|amen=slippers|amen=trouser press|amen=woodenparqueted flooring
3,ptype=hotels|star=3|amen=air conditioning|amen=closet|amen=clothes rack|amen=desk|amen=free wi-fi in all rooms|amen=heating|amen=in-room safe box|amen=linens|amen=satellitecable channels|amen=seating area|amen=sofa|amen=telephone|amen=toiletries|amen=towels|amen=woodenparqueted flooring|amen=additional bathroom|amen=alarm clock|amen=bathrobes|amen=cleaning products|amen=clothes dryer|amen=coffeetea maker|amen=dressing room|amen=fan|amen=free bottled water|amen=full kitchen|amen=hair dryer|amen=high chair|amen=ironing facilities|amen=kitchenware|amen=mini bar|amen=mirror|amen=mosquito net|amen=private entrance|amen=refrigerator|amen=separate dining area|amen=slippers|amen=smoke detector|amen=soundproofing|amen=trouser press|amen=wake-up service|amen=carpeting|amen=laptop safe box
4,ptype=hotels|star=4|amen=air conditioning|amen=closet|amen=desk|amen=fan|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mini bar|amen=satellitecable channels|amen=sewing kit|amen=shoeshine kit|amen=smoke detector|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|star=3|amen=blackout curtains|amen=carpeting|amen=coffeetea maker|amen=free bottled water|amen=ironing facilities|amen=seating area|amen=sofa|amen=soundproofing|amen=woodenparqueted flooring
5,ptype=hotels|star=3|amen=additional toilet|amen=air conditioning|amen=blackout curtains|amen=carpeting|amen=closet|amen=coffeetea maker|amen=desk|amen=fan|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=ironing facilities|amen=linens|amen=mini bar|amen=satellitecable channels|amen=seating area|amen=smoke detector|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=cleaning products|amen=daily housekeeping|amen=dart board|amen=on-demand movies|amen=trouser press|star=4|amen=extra long bed|amen=laptop safe box|amen=mirror
