itemid,hotelid,hotelname,features
668,1233026,Hotel & Wirtshaus Hodl-Kaplan,ptype=hotels|star=3|amen=air conditioning|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=satellitecable channels|amen=smoke detector|amen=toiletries|amen=towels|amen=wake-up service|amen=woodenparqueted flooring
669,1245335,Hotel Austria,ptype=hotels|star=3|amen=additional toilet|amen=air conditioning|amen=alarm clock|amen=carpeting|amen=cleaning products|amen=closet|amen=clothes rack|amen=desk|amen=dressing room|amen=fan|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=interconnecting rooms available|amen=ironing facilities|amen=linens|amen=mosquito net|amen=private entrance|amen=satellitecable channels|amen=sofa|amen=soundproofing|amen=toiletries|amen=towels
670,1245335,Hotel Austria,ptype=hotels|star=3|amen=additional toilet|amen=air conditioning|amen=alarm clock|amen=carpeting|amen=cleaning products|amen=closet|amen=clothes rack|amen=desk|amen=dressing room|amen=fan|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=interconnecting rooms available|amen=ironing facilities|amen=linens|amen=mosquito net|amen=private entrance|amen=satellitecable channels|amen=sofa|amen=soundproofing|amen=toiletries|amen=towels
671,1245335,Hotel Austria,ptype=hotels|star=3|amen=additional toilet|amen=air conditioning|amen=alarm clock|amen=carpeting|amen=cleaning products|amen=closet|amen=clothes rack|amen=desk|amen=dressing room|amen=fan|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=interconnecting rooms available|amen=ironing facilities|amen=linens|amen=mosquito net|amen=private entrance|amen=satellitecable channels|amen=sofa|amen=soundproofing|amen=toiletries|amen=towels
672,1245335,Hotel Austria,ptype=hotels|star=3|amen=additional toilet|amen=air conditioning|amen=alarm clock|amen=carpeting|amen=cleaning products|amen=closet|amen=clothes rack|amen=desk|amen=dressing room|amen=fan|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=interconnecting rooms available|amen=ironing facilities|amen=linens|amen=mosquito net|amen=private entrance|amen=satellitecable channels|amen=soundproofing|amen=toiletries|amen=towels
673,1245335,Hotel Austria,ptype=hotels|star=3|amen=additional toilet|amen=air conditioning|amen=alarm clock|amen=carpeting|amen=cleaning products|amen=closet|amen=clothes rack|amen=desk|amen=dressing room|amen=fan|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=interconnecting rooms available|amen=ironing facilities|amen=linens|amen=mosquito net|amen=private entrance|amen=satellitecable channels|amen=soundproofing|amen=toiletries|amen=towels
674,1245335,Hotel Austria,ptype=hotels|star=3|amen=additional toilet|amen=air conditioning|amen=alarm clock|amen=carpeting|amen=cleaning products|amen=closet|amen=clothes rack|amen=desk|amen=dressing room|amen=fan|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=interconnecting rooms available|amen=ironing facilities|amen=linens|amen=mosquito net|amen=private entrance|amen=satellitecable channels|amen=soundproofing|amen=toiletries|amen=towels
675,1245335,Hotel Austria,ptype=hotels|star=3|amen=additional toilet|amen=air conditioning|amen=alarm clock|amen=carpeting|amen=cleaning products|amen=closet|amen=clothes rack|amen=desk|amen=dressing room|amen=fan|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=interconnecting rooms available|amen=ironing facilities|amen=linens|amen=mosquito net|amen=private entrance|amen=satellitecable channels|amen=soundproofing|amen=toiletries|amen=towels
676,1245335,Hotel Austria,ptype=hotels|star=3|amen=additional toilet|amen=air conditioning|amen=alarm clock|amen=carpeting|amen=cleaning products|amen=closet|amen=clothes rack|amen=desk|amen=dressing room|amen=fan|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=interconnecting rooms available|amen=ironing facilities|amen=mosquito net|amen=private entrance|amen=satellitecable channels|amen=seating area|amen=sofa|amen=soundproofing|amen=toiletries|amen=towels
677,1260913,Hotel Giessenbach,ptype=hotels|star=4|amen=additional toilet|amen=air conditioning|amen=bathrobes|amen=closet|amen=clothes rack|amen=coffeetea maker|amen=dishwasher|amen=free wi-fi in all rooms|amen=full kitchen|amen=hair dryer|amen=heating|amen=high chair|amen=in-room safe box|amen=interconnecting rooms available|amen=ironing facilities|amen=kitchenware|amen=linens|amen=microwave|amen=mirror|amen=private entrance|amen=refrigerator|amen=satellitecable channels|amen=seating area|amen=separate dining area|amen=smoke detector|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=woodenparqueted flooring
