itemid,hotelid,hotelname,features
1,31,The Harmonie Vienna  BW Premier Collection,ptype=hotels|star=4|amen=air conditioning|amen=alarm clock|amen=bathrobes|amen=closet|amen=coffeetea maker|amen=daily newspaper|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=ironing facilities|amen=laptop safe box|amen=linens|amen=mini bar|amen=mirror|amen=on-demand movies|amen=satellitecable channels|amen=seating area|amen=smoke detector|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=trouser press|amen=wake-up service
2,31,The Harmonie Vienna  BW Premier Collection,ptype=hotels|star=4|amen=air conditioning|amen=alarm clock|amen=bathrobes|amen=closet|amen=coffeetea maker|amen=daily newspaper|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=ironing facilities|amen=laptop safe box|amen=linens|amen=mini bar|amen=mirror|amen=satellitecable channels|amen=seating area|amen=smoke detector|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=trouser press|amen=wake-up service
3,31,The Harmonie Vienna  BW Premier Collection,ptype=hotels|star=4|amen=air conditioning|amen=alarm clock|amen=bathrobes|amen=closet|amen=coffeetea maker|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=ironing facilities|amen=laptop safe box|amen=linens|amen=mini bar|amen=mirror|amen=on-demand movies|amen=satellitecable channels|amen=seating area|amen=shower|amen=smoke detector|amen=sofa|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=trouser press|amen=wake-up service
4,31,The Harmonie Vienna  BW Premier Collection,ptype=hotels|star=4|amen=air conditioning|amen=bathrobes|amen=blackout curtains|amen=closet|amen=coffeetea maker|amen=daily housekeeping|amen=dart board|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=ironing facilities|amen=laptop safe box|amen=linens|amen=mini bar|amen=mirror|amen=satellitecable channels|amen=seating area|amen=shower|amen=slippers|amen=smoke detector|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
5,31,The Harmonie Vienna  BW Premier Collection,ptype=hotels|star=4|amen=air conditioning|amen=blackout curtains|amen=coffeetea maker|amen=daily housekeeping|amen=dart board|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=in-room safe box|amen=mini bar|amen=satellitecable channels|amen=shower|amen=slippers|amen=toiletries
6,31,The Harmonie Vienna  BW Premier Collection,ptype=hotels|star=4|amen=air conditioning|amen=blackout curtains|amen=coffeetea maker|amen=daily housekeeping|amen=dart board|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=in-room safe box|amen=mini bar|amen=satellitecable channels|amen=shower|amen=slippers|amen=toiletries
7,31,The Harmonie Vienna  BW Premier Collection,ptype=hotels|star=4|amen=air conditioning|amen=blackout curtains|amen=coffeetea maker|amen=daily housekeeping|amen=dart board|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=in-room safe box|amen=mini bar|amen=satellitecable channels|amen=shower|amen=slippers|amen=toiletries
8,31,The Harmonie Vienna  BW Premier Collection,ptype=hotels|star=4|amen=air conditioning|amen=blackout curtains|amen=coffeetea maker|amen=daily housekeeping|amen=dart board|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=in-room safe box|amen=mini bar|amen=satellitecable channels|amen=shower|amen=slippers|amen=toiletries
9,31,The Harmonie Vienna  BW Premier Collection,ptype=hotels|star=4|amen=air conditioning|amen=blackout curtains|amen=coffeetea maker|amen=daily housekeeping|amen=dart board|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=in-room safe box|amen=mini bar|amen=satellitecable channels|amen=shower|amen=slippers|amen=toiletries
10,31,The Harmonie Vienna  BW Premier Collection,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
11,1429,Hotel Villa Carlton,ptype=hotels|star=4|amen=air conditioning|amen=blackout curtains|amen=closet|amen=daily housekeeping|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=ipod docking station|amen=satellitecable channels|amen=telephone|amen=toiletries|amen=wake-up service|amen=woodenparqueted flooring
12,1429,Hotel Villa Carlton,ptype=hotels|star=4|amen=air conditioning|amen=blackout curtains|amen=daily housekeeping|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=in-room safe box|amen=satellitecable channels|amen=shower|amen=toiletries
13,1429,Hotel Villa Carlton,ptype=hotels|star=4|amen=air conditioning|amen=closet|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=ipod docking station|amen=satellitecable channels|amen=shower|amen=telephone|amen=toiletries|amen=wake-up service|amen=woodenparqueted flooring
14,1429,Hotel Villa Carlton,ptype=hotels|star=4|amen=air conditioning|amen=closet|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=ipod docking station|amen=satellitecable channels|amen=telephone|amen=toiletries|amen=wake-up service|amen=woodenparqueted flooring
15,1429,Hotel Villa Carlton,ptype=hotels|star=4|amen=air conditioning|amen=closet|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=satellitecable channels|amen=shower|amen=telephone|amen=toiletries|amen=wake-up service|amen=woodenparqueted flooring
16,1429,Hotel Villa Carlton,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
17,1429,Hotel Villa Carlton,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
18,1520,Hotel IMLAUER & Brau,ptype=hotels|star=4|amen=air conditioning|amen=blackout curtains|amen=closet|amen=coffeetea maker|amen=daily housekeeping|amen=dart board|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=mini bar|amen=satellitecable channels|amen=smoke detector|amen=soundproofing|amen=telephone|amen=toiletries|amen=wake-up service
19,1520,Hotel IMLAUER & Brau,ptype=hotels|star=4|amen=air conditioning|amen=blackout curtains|amen=coffeetea maker|amen=daily housekeeping|amen=dart board|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=in-room safe box|amen=mini bar|amen=satellitecable channels|amen=soundproofing|amen=telephone|amen=toiletries
20,1520,Hotel IMLAUER & Brau,ptype=hotels|star=4|amen=air conditioning|amen=closet|amen=coffeetea maker|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=mini bar|amen=shower|amen=smoke detector|amen=sofa|amen=soundproofing|amen=telephone|amen=toiletries|amen=tv [flat screen]|amen=wake-up service
21,2243,Austria Trend Hotel Europa Graz,ptype=hotels|star=4|amen=air conditioning|amen=bathrobes|amen=blackout curtains|amen=carpeting|amen=closet|amen=coffeetea maker|amen=daily housekeeping|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mini bar|amen=mirror|amen=satellitecable channels|amen=seating area|amen=slippers|amen=smoke detector|amen=sofa|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
22,2243,Austria Trend Hotel Europa Graz,ptype=hotels|star=4|amen=air conditioning|amen=blackout curtains|amen=carpeting|amen=closet|amen=daily housekeeping|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mini bar|amen=satellitecable channels|amen=smoke detector|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
23,2243,Austria Trend Hotel Europa Graz,ptype=hotels|star=4|amen=air conditioning|amen=blackout curtains|amen=daily housekeeping|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=in-room safe box|amen=mini bar|amen=satellitecable channels
24,2243,Austria Trend Hotel Europa Graz,ptype=hotels|star=4|amen=air conditioning|amen=carpeting|amen=closet|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mini bar|amen=satellitecable channels|amen=smoke detector|amen=sofa|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
25,2243,Austria Trend Hotel Europa Graz,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=telephone|amen=tv
26,2243,Austria Trend Hotel Europa Graz,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=telephone|amen=tv
27,2243,Austria Trend Hotel Europa Graz,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=telephone|amen=tv
28,2243,Austria Trend Hotel Europa Graz,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=telephone|amen=tv
29,2243,Austria Trend Hotel Europa Graz,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=telephone|amen=tv
30,2243,Austria Trend Hotel Europa Graz,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=telephone|amen=tv
31,2243,Austria Trend Hotel Europa Graz,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=telephone|amen=tv
32,2243,Austria Trend Hotel Europa Graz,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
33,2243,Austria Trend Hotel Europa Graz,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
34,2243,Austria Trend Hotel Europa Graz,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
35,3321,Altstadt Hotel Hofwirt Salzburg,ptype=hotels|star=3|amen=air conditioning|amen=daily housekeeping|amen=dart board|amen=desk|amen=fan|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=satellitecable channels|amen=telephone|amen=towels|amen=woodenparqueted flooring
36,3321,Altstadt Hotel Hofwirt Salzburg,ptype=hotels|star=3|amen=air conditioning|amen=daily housekeeping|amen=dart board|amen=desk|amen=fan|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=satellitecable channels|amen=telephone|amen=towels|amen=woodenparqueted flooring
37,3321,Altstadt Hotel Hofwirt Salzburg,ptype=hotels|star=3|amen=air conditioning|amen=daily housekeeping|amen=dart board|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=in-room safe box|amen=satellitecable channels|amen=telephone
38,3698,Hotel Alpha Wien,ptype=hotels|star=3|amen=air conditioning|amen=alarm clock|amen=cleaning products|amen=closet|amen=clothes rack|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=ironing facilities|amen=mini bar|amen=on-demand movies|amen=satellitecable channels|amen=seating area|amen=telephone|amen=toiletries|amen=wake-up service
39,3698,Hotel Alpha Wien,ptype=hotels|star=3|amen=air conditioning|amen=cleaning products|amen=closet|amen=clothes rack|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=ironing facilities|amen=mini bar|amen=satellitecable channels|amen=seating area|amen=telephone|amen=toiletries|amen=wake-up service
40,5211,Mercure Wien Zentrum Hotel,ptype=hotels|star=3|amen=air conditioning|amen=alarm clock|amen=bathrobes|amen=carpeting|amen=closet|amen=clothes rack|amen=coffeetea maker|amen=daily housekeeping|amen=daily newspaper|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=ironing facilities|amen=laptop safe box|amen=linens|amen=mini bar|amen=mirror|amen=on-demand movies|amen=refrigerator|amen=satellitecable channels|amen=seating area|amen=slippers|amen=smoke detector|amen=telephone|amen=toiletries|amen=towels|amen=video game console|amen=wake-up service
41,5211,Mercure Wien Zentrum Hotel,ptype=hotels|star=3|amen=air conditioning|amen=alarm clock|amen=bathrobes|amen=carpeting|amen=closet|amen=clothes rack|amen=coffeetea maker|amen=daily housekeeping|amen=daily newspaper|amen=desk|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=ironing facilities|amen=laptop safe box|amen=linens|amen=mini bar|amen=mirror|amen=on-demand movies|amen=refrigerator|amen=satellitecable channels|amen=seating area|amen=smoke detector|amen=telephone|amen=toiletries|amen=towels|amen=video game console|amen=wake-up service
42,7181,Daniel Graz,ptype=hotels|star=4|amen=air conditioning|amen=daily housekeeping|amen=free wi-fi in all rooms|amen=hair dryer|amen=in-room safe box|amen=linens|amen=mirror|amen=satellitecable channels|amen=seating area|amen=soundproofing|amen=telephone|amen=towels
43,7181,Daniel Graz,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=linens|amen=shower|amen=towels|amen=tv
44,7453,Altstadthotel Kasererbraeu,ptype=hotels|star=4|amen=air conditioning|amen=closet|amen=coffeetea maker|amen=desk|amen=fan|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mini bar|amen=satellitecable channels|amen=seating area|amen=sewing kit|amen=shoeshine kit|amen=smoke detector|amen=sofa|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
45,7453,Altstadthotel Kasererbraeu,ptype=hotels|star=4|amen=air conditioning|amen=closet|amen=desk|amen=fan|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mini bar|amen=satellitecable channels|amen=sewing kit|amen=shoeshine kit|amen=smoke detector|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
46,7453,Altstadthotel Kasererbraeu,ptype=hotels|star=4|amen=air conditioning|amen=closet|amen=desk|amen=fan|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mini bar|amen=satellitecable channels|amen=sewing kit|amen=shoeshine kit|amen=smoke detector|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
47,7453,Altstadthotel Kasererbraeu,ptype=hotels|star=4|amen=air conditioning|amen=closet|amen=desk|amen=fan|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=satellitecable channels|amen=sewing kit|amen=shoeshine kit|amen=smoke detector|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
48,8306,Novum Hotel Prinz Eugen Wien,ptype=hotels|star=4|amen=air conditioning|amen=alarm clock|amen=blackout curtains|amen=coffeetea maker|amen=daily housekeeping|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=mini bar|amen=refrigerator|amen=satellitecable channels|amen=seating area|amen=soundproofing|amen=telephone|amen=toiletries|amen=trouser press|amen=wake-up service
49,8306,Novum Hotel Prinz Eugen Wien,ptype=hotels|star=4|amen=air conditioning|amen=alarm clock|amen=blackout curtains|amen=coffeetea maker|amen=daily housekeeping|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=mini bar|amen=refrigerator|amen=satellitecable channels|amen=seating area|amen=soundproofing|amen=telephone|amen=toiletries|amen=wake-up service
50,8306,Novum Hotel Prinz Eugen Wien,ptype=hotels|star=4|amen=air conditioning|amen=alarm clock|amen=blackout curtains|amen=coffeetea maker|amen=daily housekeeping|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=mini bar|amen=satellitecable channels|amen=seating area|amen=soundproofing|amen=telephone|amen=toiletries
51,8306,Novum Hotel Prinz Eugen Wien,ptype=hotels|star=4|amen=air conditioning|amen=alarm clock|amen=blackout curtains|amen=coffeetea maker|amen=daily housekeeping|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=mini bar|amen=satellitecable channels|amen=seating area|amen=soundproofing|amen=telephone|amen=toiletries
52,8306,Novum Hotel Prinz Eugen Wien,ptype=hotels|star=4|amen=air conditioning|amen=alarm clock|amen=blackout curtains|amen=daily housekeeping|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=mini bar|amen=refrigerator|amen=satellitecable channels|amen=seating area|amen=soundproofing|amen=telephone|amen=toiletries|amen=trouser press|amen=wake-up service
53,8306,Novum Hotel Prinz Eugen Wien,ptype=hotels|star=4|amen=air conditioning|amen=alarm clock|amen=blackout curtains|amen=daily housekeeping|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=mini bar|amen=refrigerator|amen=satellitecable channels|amen=seating area|amen=telephone|amen=toiletries|amen=trouser press|amen=wake-up service
54,8306,Novum Hotel Prinz Eugen Wien,ptype=hotels|star=4|amen=air conditioning|amen=daily housekeeping|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=in-room safe box|amen=satellitecable channels|amen=shower|amen=telephone|amen=toiletries
55,8306,Novum Hotel Prinz Eugen Wien,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
56,8306,Novum Hotel Prinz Eugen Wien,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
57,48822,Ibis Styles Linz,ptype=hotels|star=3|amen=air conditioning|amen=bathrobes|amen=blackout curtains|amen=closet|amen=clothes rack|amen=coffeetea maker|amen=daily housekeeping|amen=desk|amen=fan|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=high chair|amen=in-room safe box|amen=ipod docking station|amen=ironing facilities|amen=kitchenware|amen=linens|amen=mirror|amen=satellitecable channels|amen=seating area|amen=separate dining area|amen=smoke detector|amen=sofa|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
58,48822,Ibis Styles Linz,ptype=hotels|star=3|amen=air conditioning|amen=bathrobes|amen=blackout curtains|amen=closet|amen=clothes rack|amen=coffeetea maker|amen=desk|amen=fan|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=high chair|amen=in-room safe box|amen=ironing facilities|amen=kitchenware|amen=linens|amen=mirror|amen=satellitecable channels|amen=seating area|amen=separate dining area|amen=smoke detector|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
59,48822,Ibis Styles Linz,ptype=hotels|star=3|amen=air conditioning|amen=bathrobes|amen=closet|amen=clothes rack|amen=coffeetea maker|amen=desk|amen=fan|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=high chair|amen=in-room safe box|amen=ironing facilities|amen=kitchenware|amen=linens|amen=mirror|amen=satellitecable channels|amen=seating area|amen=separate dining area|amen=smoke detector|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
60,48822,Ibis Styles Linz,ptype=hotels|star=3|amen=air conditioning|amen=bathrobes|amen=closet|amen=clothes rack|amen=coffeetea maker|amen=desk|amen=fan|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=high chair|amen=in-room safe box|amen=ironing facilities|amen=kitchenware|amen=linens|amen=mirror|amen=satellitecable channels|amen=seating area|amen=separate dining area|amen=smoke detector|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
61,48822,Ibis Styles Linz,ptype=hotels|star=3|amen=air conditioning|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=in-room safe box|amen=satellitecable channels|amen=shower
62,48822,Ibis Styles Linz,ptype=hotels|star=3|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
63,63490,Falkensteiner Hotel Wien Zentrum Schottenfeld,ptype=hotels|star=4|amen=air conditioning|amen=clothes rack|amen=coffeetea maker|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mini bar|amen=private entrance|amen=satellitecable channels|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
64,63490,Falkensteiner Hotel Wien Zentrum Schottenfeld,ptype=hotels|star=4|amen=air conditioning|amen=clothes rack|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=private entrance|amen=satellitecable channels|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
65,63490,Falkensteiner Hotel Wien Zentrum Schottenfeld,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
66,70123,Hotel Haydn,ptype=hotels|star=3|amen=air conditioning|amen=closet|amen=clothes rack|amen=daily housekeeping|amen=desk|amen=dvdcd player|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=ironing facilities|amen=linens|amen=mini bar|amen=private entrance|amen=refrigerator|amen=satellitecable channels|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
67,70123,Hotel Haydn,ptype=hotels|star=3|amen=air conditioning|amen=closet|amen=clothes rack|amen=daily housekeeping|amen=desk|amen=dvdcd player|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=ironing facilities|amen=linens|amen=mini bar|amen=private entrance|amen=refrigerator|amen=satellitecable channels|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
68,70123,Hotel Haydn,ptype=hotels|star=3|amen=air conditioning|amen=closet|amen=clothes rack|amen=daily housekeeping|amen=desk|amen=dvdcd player|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=ironing facilities|amen=linens|amen=mini bar|amen=private entrance|amen=refrigerator|amen=satellitecable channels|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
69,70123,Hotel Haydn,ptype=hotels|star=3|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=mini bar|amen=tv
70,70133,Hotel Amadeus,ptype=hotels|star=4|amen=air conditioning|amen=bathrobes|amen=blackout curtains|amen=closet|amen=clothes rack|amen=desk|amen=dvdcd player|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=laptop safe box|amen=linens|amen=mini bar|amen=mirror|amen=satellitecable channels|amen=seating area|amen=slippers|amen=sofa|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=whirlpool bathtub|amen=woodenparqueted flooring
71,70133,Hotel Amadeus,ptype=hotels|star=4|amen=air conditioning|amen=bathrobes|amen=blackout curtains|amen=closet|amen=clothes rack|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=laptop safe box|amen=linens|amen=mini bar|amen=mirror|amen=satellitecable channels|amen=seating area|amen=slippers|amen=sofa|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
72,70133,Hotel Amadeus,ptype=hotels|star=4|amen=air conditioning|amen=bathrobes|amen=blackout curtains|amen=closet|amen=clothes rack|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=laptop safe box|amen=linens|amen=mini bar|amen=mirror|amen=satellitecable channels|amen=seating area|amen=slippers|amen=sofa|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
73,70133,Hotel Amadeus,ptype=hotels|star=4|amen=air conditioning|amen=bathrobes|amen=closet|amen=clothes rack|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=laptop safe box|amen=linens|amen=mini bar|amen=mirror|amen=satellitecable channels|amen=slippers|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
74,70133,Hotel Amadeus,ptype=hotels|star=4|amen=air conditioning|amen=bathrobes|amen=closet|amen=clothes rack|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=laptop safe box|amen=linens|amen=mini bar|amen=mirror|amen=satellitecable channels|amen=slippers|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
75,70133,Hotel Amadeus,ptype=hotels|star=4|amen=air conditioning|amen=blackout curtains|amen=closet|amen=clothes rack|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=laptop safe box|amen=linens|amen=mini bar|amen=satellitecable channels|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
76,70133,Hotel Amadeus,ptype=hotels|star=4|amen=air conditioning|amen=closet|amen=clothes rack|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=laptop safe box|amen=linens|amen=mini bar|amen=satellitecable channels|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
77,70157,Augarten Art Hotel,ptype=hotels|star=4|amen=air conditioning|amen=bathrobes|amen=bathroom phone|amen=blackout curtains|amen=closet|amen=daily housekeeping|amen=dart board|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=interconnecting rooms available|amen=linens|amen=mini bar|amen=mirror|amen=satellitecable channels|amen=seating area|amen=slippers|amen=smoke detector|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=woodenparqueted flooring
78,70157,Augarten Art Hotel,ptype=hotels|star=4|amen=air conditioning|amen=bathrobes|amen=closet|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=in-room safe box|amen=linens|amen=mini bar|amen=mirror|amen=satellitecable channels|amen=shower|amen=smoke detector|amen=telephone|amen=toiletries|amen=towels
79,70157,Augarten Art Hotel,ptype=hotels|star=4|amen=air conditioning|amen=bathrobes|amen=closet|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=in-room safe box|amen=linens|amen=mini bar|amen=mirror|amen=satellitecable channels|amen=slippers|amen=smoke detector|amen=toiletries|amen=towels
80,70157,Augarten Art Hotel,ptype=hotels|star=4|amen=air conditioning|amen=blackout curtains|amen=daily housekeeping|amen=dart board|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=in-room safe box|amen=interconnecting rooms available|amen=linens|amen=mini bar|amen=satellitecable channels|amen=smoke detector|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels
81,70993,Star Inn Hotel Salzburg Airport-Messe  by Comfort,ptype=hotels|star=3|amen=additional toilet|amen=air conditioning|amen=blackout curtains|amen=carpeting|amen=closet|amen=coffeetea maker|amen=desk|amen=fan|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=ironing facilities|amen=linens|amen=mini bar|amen=satellitecable channels|amen=seating area|amen=smoke detector|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
82,70993,Star Inn Hotel Salzburg Airport-Messe  by Comfort,ptype=hotels|star=3|amen=additional toilet|amen=air conditioning|amen=carpeting|amen=closet|amen=coffeetea maker|amen=desk|amen=fan|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=ironing facilities|amen=linens|amen=mini bar|amen=satellitecable channels|amen=seating area|amen=smoke detector|amen=sofa|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
