userid,features
1,amen=whirlpool bathtub:32.500000|amen=dvdcd player:4.875000|amen=laptop safe box:4.333333|amen=daily housekeeping:3.196721|amen=blackout curtains:3.120000|amen=bathrobes:2.954545|amen=soundproofing:2.925000|amen=mini bar:2.815884|amen=slippers:2.708333|amen=mirror:2.478814|amen=seating area:2.452830|amen=woodenparqueted flooring:2.387755|amen=coffeetea maker:2.215909|amen=fan:2.119565|amen=wake-up service:1.857143|amen=sofa:1.797235|amen=clothes rack:1.772727|star=4:1.684665|amen=carpeting:1.666667|amen=ironing facilities:1.638655|amen=closet:1.585366|amen=towels:1.511628|amen=telephone:1.471698|amen=desk:1.439114|amen=satellitecable channels:1.349481|amen=heating:1.328790|amen=hair dryer:1.274510|amen=linens:1.244681|amen=shower:1.127168|amen=toiletries:1.029930|amen=free wi-fi in all rooms:1.009056|ptype=hotels:1.009056|amen=air conditioning:1.000000|amen=in-room safe box:1.000000|amen=free bottled water:0.915493|amen=smoke detector:0.538674
2,ptype=resorts:37.142857|amen=trouser press:18.571429|amen=additional bathroom:12.380952|amen=dressing room:11.818182|amen=mosquito net:10.833333|amen=full kitchen:10.000000|amen=clothes dryer:9.629630|amen=extra long bed:6.666667|amen=microwave:6.666667|amen=high chair:6.190476|amen=kitchenware:5.652174|amen=cleaning products:5.416667|amen=separate dining area:4.482759|amen=private entrance:3.661972|amen=clothes rack:3.545455|amen=interconnecting rooms available:3.132530|amen=alarm clock:3.023256|amen=fan:2.826087|amen=bathrobes:2.626263|amen=soundproofing:2.600000|amen=sofa:2.396313|amen=refrigerator:2.363636|amen=mirror:2.203390|amen=ironing facilities:2.184874|amen=mini bar:1.877256|amen=wake-up service:1.857143|amen=slippers:1.805556|amen=linens:1.659574|star=3:1.656051|amen=seating area:1.635220|amen=closet:1.585366|amen=towels:1.511628|amen=coffeetea maker:1.477273|amen=telephone:1.471698|amen=smoke detector:1.436464|amen=toiletries:1.373239|amen=satellitecable channels:1.349481|amen=heating:1.328790|amen=hair dryer:1.274510|amen=free bottled water:1.220657|amen=carpeting:1.111111|amen=woodenparqueted flooring:1.061224|amen=free wi-fi in all rooms:1.009056|amen=air conditioning:1.000000|amen=in-room safe box:1.000000|amen=desk:0.959410|ptype=hotels:0.672704|star=4:0.561555
3,amen=trouser press:18.571429|amen=additional bathroom:12.380952|amen=dressing room:11.818182|amen=mosquito net:10.833333|amen=full kitchen:10.000000|amen=clothes dryer:9.629630|amen=high chair:6.190476|amen=laptop safe box:5.777778|amen=kitchenware:5.652174|amen=cleaning products:5.416667|amen=separate dining area:4.482759|amen=ironing facilities:4.369748|amen=private entrance:3.661972|amen=fan:2.826087|star=3:2.484076|amen=sofa:2.396313|amen=clothes rack:2.363636|amen=refrigerator:2.363636|amen=woodenparqueted flooring:2.122449|amen=slippers:1.805556|amen=linens:1.659574|amen=seating area:1.635220|amen=closet:1.585366|amen=alarm clock:1.511628|amen=towels:1.511628|amen=coffeetea maker:1.477273|amen=smoke detector:1.436464|amen=toiletries:1.373239|amen=satellitecable channels:1.349481|amen=heating:1.328790|amen=bathrobes:1.313131|amen=soundproofing:1.300000|amen=free bottled water:1.220657|amen=carpeting:1.111111|amen=mirror:1.101695|amen=free wi-fi in all rooms:1.009056|ptype=hotels:1.009056|amen=air conditioning:1.000000|amen=in-room safe box:1.000000|amen=telephone:0.981132|amen=desk:0.959410|amen=mini bar:0.938628|amen=hair dryer:0.849673|amen=wake-up service:0.619048
4,amen=sewing kit:43.333333|amen=shoeshine kit:23.636364|amen=fan:5.652174|amen=mini bar:2.815884|amen=ironing facilities:2.184874|amen=blackout curtains:2.080000|amen=wake-up service:1.857143|amen=seating area:1.635220|amen=coffeetea maker:1.477273|amen=telephone:1.471698|amen=desk:1.439114|amen=smoke detector:1.436464|amen=toiletries:1.373239|amen=satellitecable channels:1.349481|amen=soundproofing:1.300000|amen=hair dryer:1.274510|amen=free bottled water:1.220657|amen=sofa:1.198157|star=4:1.123110|amen=carpeting:1.111111|amen=linens:1.106383|amen=woodenparqueted flooring:1.061224|amen=closet:1.056911|amen=free wi-fi in all rooms:1.009056|ptype=hotels:1.009056|amen=towels:1.007752|amen=air conditioning:1.000000|amen=in-room safe box:1.000000|amen=heating:0.885860|star=3:0.828025
5,amen=trouser press:18.571429|amen=on-demand movies:17.333333|amen=dart board:9.285714|amen=extra long bed:6.666667|amen=blackout curtains:6.240000|amen=laptop safe box:5.777778|amen=fan:5.652174|amen=cleaning products:5.416667|amen=additional toilet:4.561404|amen=ironing facilities:4.369748|amen=daily housekeeping:4.262295|amen=carpeting:3.333333|amen=coffeetea maker:2.954545|amen=mini bar:2.815884|amen=free bottled water:2.441315|amen=wake-up service:1.857143|amen=linens:1.659574|star=3:1.656051|amen=closet:1.585366|amen=towels:1.511628|amen=telephone:1.471698|amen=desk:1.439114|amen=smoke detector:1.436464|amen=toiletries:1.373239|amen=satellitecable channels:1.349481|amen=heating:1.328790|amen=soundproofing:1.300000|amen=hair dryer:1.274510|amen=mirror:1.101695|amen=free wi-fi in all rooms:1.009056|ptype=hotels:1.009056|amen=air conditioning:1.000000|amen=in-room safe box:1.000000|amen=seating area:0.817610|star=4:0.561555
